"CODIBGE","REGIAO","UF","CIDADE","PAIS","LOCCIDADE","POPESTIMADA","POPCLASSE"
2401503,"Nordeste","RN","Barcelona","Brasil","Barcelona, RN",4064,"Até 5000"
2401602,"Nordeste","RN","Bento Fernandes","Brasil","Bento Fernandes, RN",5527,"5001 até 10000"
2401651,"Nordeste","RN","Bodó","Brasil","Bodó, RN",2307,"Até 5000"
2401701,"Nordeste","RN","Bom Jesus","Brasil","Bom Jesus, RN",10254,"10001 até 20000"
2401800,"Nordeste","RN","Brejinho","Brasil","Brejinho, RN",12720,"10001 até 20000"
2401859,"Nordeste","RN","Caiçara do Norte","Brasil","Caiçara do Norte, RN",6624,"5001 até 10000"
2401909,"Nordeste","RN","Caiçara do Rio do Vento","Brasil","Caiçara do Rio do Vento, RN",3680,"Até 5000"
2402006,"Nordeste","RN","Caicó","Brasil","Caicó, RN",68222,"50001 até 100000"
2402105,"Nordeste","RN","Campo Redondo","Brasil","Campo Redondo, RN",11244,"10001 até 20000"
2402204,"Nordeste","RN","Canguaretama","Brasil","Canguaretama, RN",34267,"20001 até 50000"
2402303,"Nordeste","RN","Caraúbas","Brasil","Caraúbas, RN",20707,"20001 até 50000"
2402402,"Nordeste","RN","Carnaúba dos Dantas","Brasil","Carnaúba dos Dantas, RN",8188,"5001 até 10000"
2402501,"Nordeste","RN","Carnaubais","Brasil","Carnaubais, RN",10715,"10001 até 20000"
2402600,"Nordeste","RN","Ceará-Mirim","Brasil","Ceará-Mirim, RN",73849,"50001 até 100000"
2402709,"Nordeste","RN","Cerro Corá","Brasil","Cerro Corá, RN",11344,"10001 até 20000"
2402808,"Nordeste","RN","Coronel Ezequiel","Brasil","Coronel Ezequiel, RN",5593,"5001 até 10000"
2402907,"Nordeste","RN","Coronel João Pessoa","Brasil","Coronel João Pessoa, RN",4980,"Até 5000"
2403004,"Nordeste","RN","Cruzeta","Brasil","Cruzeta, RN",8147,"5001 até 10000"
2403103,"Nordeste","RN","Currais Novos","Brasil","Currais Novos, RN",45228,"20001 até 50000"
2403202,"Nordeste","RN","Doutor Severiano","Brasil","Doutor Severiano, RN",7190,"5001 até 10000"
2403251,"Nordeste","RN","Parnamirim","Brasil","Parnamirim, RN",254709,"100001 até 500000"
2403301,"Nordeste","RN","Encanto","Brasil","Encanto, RN",5666,"5001 até 10000"
2403400,"Nordeste","RN","Equador","Brasil","Equador, RN",6119,"5001 até 10000"
2403509,"Nordeste","RN","Espírito Santo","Brasil","Espírito Santo, RN",10702,"10001 até 20000"
2403608,"Nordeste","RN","Extremoz","Brasil","Extremoz, RN",28331,"20001 até 50000"
2403707,"Nordeste","RN","Felipe Guerra","Brasil","Felipe Guerra, RN",6052,"5001 até 10000"
2403756,"Nordeste","RN","Fernando Pedroza","Brasil","Fernando Pedroza, RN",3072,"Até 5000"
2403806,"Nordeste","RN","Florânia","Brasil","Florânia, RN",9262,"5001 até 10000"
2403905,"Nordeste","RN","Francisco Dantas","Brasil","Francisco Dantas, RN",2890,"Até 5000"
2404002,"Nordeste","RN","Frutuoso Gomes","Brasil","Frutuoso Gomes, RN",4180,"Até 5000"
2404101,"Nordeste","RN","Galinhos","Brasil","Galinhos, RN",2715,"Até 5000"
2404200,"Nordeste","RN","Goianinha","Brasil","Goianinha, RN",26068,"20001 até 50000"
2404309,"Nordeste","RN","Governador Dix-Sept Rosado","Brasil","Governador Dix-Sept Rosado, RN",13157,"10001 até 20000"
2404408,"Nordeste","RN","Grossos","Brasil","Grossos, RN",10386,"10001 até 20000"
2404507,"Nordeste","RN","Guamaré","Brasil","Guamaré, RN",15309,"10001 até 20000"
2404606,"Nordeste","RN","Ielmo Marinho","Brasil","Ielmo Marinho, RN",13714,"10001 até 20000"
2404705,"Nordeste","RN","Ipanguaçu","Brasil","Ipanguaçu, RN",15464,"10001 até 20000"
2404804,"Nordeste","RN","Ipueira","Brasil","Ipueira, RN",2251,"Até 5000"
2404853,"Nordeste","RN","Itajá","Brasil","Itajá, RN",7571,"5001 até 10000"
2404903,"Nordeste","RN","Itaú","Brasil","Itaú, RN",5930,"5001 até 10000"
2405009,"Nordeste","RN","Jaçanã","Brasil","Jaçanã, RN",9068,"5001 até 10000"
2405108,"Nordeste","RN","Jandaíra","Brasil","Jandaíra, RN",6942,"5001 até 10000"
2405207,"Nordeste","RN","Janduís","Brasil","Janduís, RN",5386,"5001 até 10000"
2405306,"Nordeste","RN","Januário Cicco","Brasil","Januário Cicco, RN",10096,"10001 até 20000"
2405405,"Nordeste","RN","Japi","Brasil","Japi, RN",5247,"5001 até 10000"
2405504,"Nordeste","RN","Jardim de Angicos","Brasil","Jardim de Angicos, RN",2663,"Até 5000"
2405603,"Nordeste","RN","Jardim de Piranhas","Brasil","Jardim de Piranhas, RN",14858,"10001 até 20000"
2405702,"Nordeste","RN","Jardim do Seridó","Brasil","Jardim do Seridó, RN",12579,"10001 até 20000"
2405801,"Nordeste","RN","João Câmara","Brasil","João Câmara, RN",35087,"20001 até 50000"
2405900,"Nordeste","RN","João Dias","Brasil","João Dias, RN",2695,"Até 5000"
2406007,"Nordeste","RN","José da Penha","Brasil","José da Penha, RN",6050,"5001 até 10000"
2406106,"Nordeste","RN","Jucurutu","Brasil","Jucurutu, RN",18530,"10001 até 20000"
2406155,"Nordeste","RN","Jundiá","Brasil","Jundiá, RN",3910,"Até 5000"
2406205,"Nordeste","RN","Lagoa d'Anta","Brasil","Lagoa d'Anta, RN",6793,"5001 até 10000"
2406304,"Nordeste","RN","Lagoa de Pedras","Brasil","Lagoa de Pedras, RN",7579,"5001 até 10000"
2406403,"Nordeste","RN","Lagoa de Velhos","Brasil","Lagoa de Velhos, RN",2771,"Até 5000"
2406502,"Nordeste","RN","Lagoa Nova","Brasil","Lagoa Nova, RN",15590,"10001 até 20000"
2406601,"Nordeste","RN","Lagoa Salgada","Brasil","Lagoa Salgada, RN",8269,"5001 até 10000"
2406700,"Nordeste","RN","Lajes","Brasil","Lajes, RN",11316,"10001 até 20000"
2406809,"Nordeste","RN","Lajes Pintadas","Brasil","Lajes Pintadas, RN",4822,"Até 5000"
2406908,"Nordeste","RN","Lucrécia","Brasil","Lucrécia, RN",4002,"Até 5000"
2407005,"Nordeste","RN","Luís Gomes","Brasil","Luís Gomes, RN",10211,"10001 até 20000"
2407104,"Nordeste","RN","Macaíba","Brasil","Macaíba, RN",80031,"50001 até 100000"
2407203,"Nordeste","RN","Macau","Brasil","Macau, RN",31859,"20001 até 50000"
2407252,"Nordeste","RN","Major Sales","Brasil","Major Sales, RN",4002,"Até 5000"
2407302,"Nordeste","RN","Marcelino Vieira","Brasil","Marcelino Vieira, RN",8492,"5001 até 10000"
2407401,"Nordeste","RN","Martins","Brasil","Martins, RN",8793,"5001 até 10000"
2407500,"Nordeste","RN","Maxaranguape","Brasil","Maxaranguape, RN",12223,"10001 até 20000"
2407609,"Nordeste","RN","Messias Targino","Brasil","Messias Targino, RN",4608,"Até 5000"
2407708,"Nordeste","RN","Montanhas","Brasil","Montanhas, RN",11503,"10001 até 20000"
2407807,"Nordeste","RN","Monte Alegre","Brasil","Monte Alegre, RN",22462,"20001 até 50000"
2407906,"Nordeste","RN","Monte das Gameleiras","Brasil","Monte das Gameleiras, RN",2178,"Até 5000"
2408003,"Nordeste","RN","Mossoró","Brasil","Mossoró, RN",295619,"100001 até 500000"
2408102,"Nordeste","RN","Natal","Brasil","Natal, RN",885180,"Maior que 500000"
2408201,"Nordeste","RN","Nísia Floresta","Brasil","Nísia Floresta, RN",27372,"20001 até 50000"
2408300,"Nordeste","RN","Nova Cruz","Brasil","Nova Cruz, RN",37695,"20001 até 50000"
2408409,"Nordeste","RN","Olho-d'Água do Borges","Brasil","Olho-d'Água do Borges, RN",4349,"Até 5000"
2408508,"Nordeste","RN","Ouro Branco","Brasil","Ouro Branco, RN",4882,"Até 5000"
2408607,"Nordeste","RN","Paraná","Brasil","Paraná, RN",4276,"Até 5000"
2408706,"Nordeste","RN","Paraú","Brasil","Paraú, RN",3859,"Até 5000"
2408805,"Nordeste","RN","Parazinho","Brasil","Parazinho, RN",5258,"5001 até 10000"
2408904,"Nordeste","RN","Parelhas","Brasil","Parelhas, RN",21669,"20001 até 50000"
2408953,"Nordeste","RN","Rio do Fogo","Brasil","Rio do Fogo, RN",10901,"10001 até 20000"
2409100,"Nordeste","RN","Passa e Fica","Brasil","Passa e Fica, RN",13099,"10001 até 20000"
2409209,"Nordeste","RN","Passagem","Brasil","Passagem, RN",3109,"Até 5000"
2409308,"Nordeste","RN","Patu","Brasil","Patu, RN",12844,"10001 até 20000"
2409332,"Nordeste","RN","Santa Maria","Brasil","Santa Maria, RN",5500,"5001 até 10000"
2409407,"Nordeste","RN","Pau dos Ferros","Brasil","Pau dos Ferros, RN",30452,"20001 até 50000"
2409506,"Nordeste","RN","Pedra Grande","Brasil","Pedra Grande, RN",3356,"Até 5000"
2409605,"Nordeste","RN","Pedra Preta","Brasil","Pedra Preta, RN",2532,"Até 5000"
2409704,"Nordeste","RN","Pedro Avelino","Brasil","Pedro Avelino, RN",6938,"5001 até 10000"
2409803,"Nordeste","RN","Pedro Velho","Brasil","Pedro Velho, RN",14954,"10001 até 20000"
2409902,"Nordeste","RN","Pendências","Brasil","Pendências, RN",15083,"10001 até 20000"
2410009,"Nordeste","RN","Pilões","Brasil","Pilões, RN",3836,"Até 5000"
2410108,"Nordeste","RN","Poço Branco","Brasil","Poço Branco, RN",15418,"10001 até 20000"
2410207,"Nordeste","RN","Portalegre","Brasil","Portalegre, RN",7909,"5001 até 10000"
2410256,"Nordeste","RN","Porto do Mangue","Brasil","Porto do Mangue, RN",6789,"5001 até 10000"
2410306,"Nordeste","RN","Serra Caiada","Brasil","Serra Caiada, RN",10099,"10001 até 20000"
2100956,"Nordeste","MA","Arame","Brasil","Arame, MA",32145,"20001 até 50000"
2101004,"Nordeste","MA","Arari","Brasil","Arari, MA",29388,"20001 até 50000"
2410801,"Nordeste","RN","Riacho de Santana","Brasil","Riacho de Santana, RN",4277,"Até 5000"
2410900,"Nordeste","RN","Riachuelo","Brasil","Riachuelo, RN",8075,"5001 até 10000"
2411007,"Nordeste","RN","Rodolfo Fernandes","Brasil","Rodolfo Fernandes, RN",4545,"Até 5000"
2411056,"Nordeste","RN","Tibau","Brasil","Tibau, RN",4100,"Até 5000"
2411106,"Nordeste","RN","Ruy Barbosa","Brasil","Ruy Barbosa, RN",3669,"Até 5000"
2411205,"Nordeste","RN","Santa Cruz","Brasil","Santa Cruz, RN",39667,"20001 até 50000"
2411403,"Nordeste","RN","Santana do Matos","Brasil","Santana do Matos, RN",13289,"10001 até 20000"
2411429,"Nordeste","RN","Santana do Seridó","Brasil","Santana do Seridó, RN",2701,"Até 5000"
2411502,"Nordeste","RN","Santo Antônio","Brasil","Santo Antônio, RN",24220,"20001 até 50000"
2411601,"Nordeste","RN","São Bento do Norte","Brasil","São Bento do Norte, RN",2846,"Até 5000"
2411700,"Nordeste","RN","São Bento do Trairí","Brasil","São Bento do Trairí, RN",4425,"Até 5000"
2411809,"Nordeste","RN","São Fernando","Brasil","São Fernando, RN",3617,"Até 5000"
2411908,"Nordeste","RN","São Francisco do Oeste","Brasil","São Francisco do Oeste, RN",4238,"Até 5000"
2412005,"Nordeste","RN","São Gonçalo do Amarante","Brasil","São Gonçalo do Amarante, RN",101492,"100001 até 500000"
2412104,"Nordeste","RN","São João do Sabugi","Brasil","São João do Sabugi, RN",6260,"5001 até 10000"
2412203,"Nordeste","RN","São José de Mipibu","Brasil","São José de Mipibu, RN",43995,"20001 até 50000"
2412302,"Nordeste","RN","São José do Campestre","Brasil","São José do Campestre, RN",13007,"10001 até 20000"
2412401,"Nordeste","RN","São José do Seridó","Brasil","São José do Seridó, RN",4643,"Até 5000"
2412500,"Nordeste","RN","São Miguel","Brasil","São Miguel, RN",23610,"20001 até 50000"
2412559,"Nordeste","RN","São Miguel do Gostoso","Brasil","São Miguel do Gostoso, RN",9606,"5001 até 10000"
2412609,"Nordeste","RN","São Paulo do Potengi","Brasil","São Paulo do Potengi, RN",17572,"10001 até 20000"
2412708,"Nordeste","RN","São Pedro","Brasil","São Pedro, RN",6139,"5001 até 10000"
2412807,"Nordeste","RN","São Rafael","Brasil","São Rafael, RN",8343,"5001 até 10000"
2412906,"Nordeste","RN","São Tomé","Brasil","São Tomé, RN",11223,"10001 até 20000"
2413003,"Nordeste","RN","São Vicente","Brasil","São Vicente, RN",6469,"5001 até 10000"
2413102,"Nordeste","RN","Senador Elói de Souza","Brasil","Senador Elói de Souza, RN",6188,"5001 até 10000"
2413201,"Nordeste","RN","Senador Georgino Avelino","Brasil","Senador Georgino Avelino, RN",4423,"Até 5000"
2413300,"Nordeste","RN","Serra de São Bento","Brasil","Serra de São Bento, RN",5870,"5001 até 10000"
2413359,"Nordeste","RN","Serra do Mel","Brasil","Serra do Mel, RN",11838,"10001 até 20000"
2413409,"Nordeste","RN","Serra Negra do Norte","Brasil","Serra Negra do Norte, RN",8175,"5001 até 10000"
2413508,"Nordeste","RN","Serrinha","Brasil","Serrinha, RN",6422,"5001 até 10000"
2413557,"Nordeste","RN","Serrinha dos Pintos","Brasil","Serrinha dos Pintos, RN",4841,"Até 5000"
2413607,"Nordeste","RN","Severiano Melo","Brasil","Severiano Melo, RN",3150,"Até 5000"
2413706,"Nordeste","RN","Sítio Novo","Brasil","Sítio Novo, RN",5528,"5001 até 10000"
2413805,"Nordeste","RN","Taboleiro Grande","Brasil","Taboleiro Grande, RN",2566,"Até 5000"
2413904,"Nordeste","RN","Taipu","Brasil","Taipu, RN",12428,"10001 até 20000"
2414001,"Nordeste","RN","Tangará","Brasil","Tangará, RN",15866,"10001 até 20000"
2414100,"Nordeste","RN","Tenente Ananias","Brasil","Tenente Ananias, RN",10814,"10001 até 20000"
2414159,"Nordeste","RN","Tenente Laurentino Cruz","Brasil","Tenente Laurentino Cruz, RN",5912,"5001 até 10000"
2414209,"Nordeste","RN","Tibau do Sul","Brasil","Tibau do Sul, RN",13895,"10001 até 20000"
2414308,"Nordeste","RN","Timbaúba dos Batistas","Brasil","Timbaúba dos Batistas, RN",2437,"Até 5000"
2414407,"Nordeste","RN","Touros","Brasil","Touros, RN",34043,"20001 até 50000"
2414456,"Nordeste","RN","Triunfo Potiguar","Brasil","Triunfo Potiguar, RN",3327,"Até 5000"
2414506,"Nordeste","RN","Umarizal","Brasil","Umarizal, RN",10781,"10001 até 20000"
2414605,"Nordeste","RN","Upanema","Brasil","Upanema, RN",14609,"10001 até 20000"
2414704,"Nordeste","RN","Várzea","Brasil","Várzea, RN",5554,"5001 até 10000"
2414753,"Nordeste","RN","Venha-Ver","Brasil","Venha-Ver, RN",4187,"Até 5000"
2414803,"Nordeste","RN","Vera Cruz","Brasil","Vera Cruz, RN",12371,"10001 até 20000"
2414902,"Nordeste","RN","Viçosa","Brasil","Viçosa, RN",1731,"Até 5000"
2415008,"Nordeste","RN","Vila Flor","Brasil","Vila Flor, RN",3173,"Até 5000"
2500106,"Nordeste","PB","Água Branca","Brasil","Água Branca, PB",10258,"10001 até 20000"
2500205,"Nordeste","PB","Aguiar","Brasil","Aguiar, PB",5562,"5001 até 10000"
2500304,"Nordeste","PB","Alagoa Grande","Brasil","Alagoa Grande, PB",28565,"20001 até 50000"
2500403,"Nordeste","PB","Alagoa Nova","Brasil","Alagoa Nova, PB",20689,"20001 até 50000"
2500502,"Nordeste","PB","Alagoinha","Brasil","Alagoinha, PB",14464,"10001 até 20000"
2500536,"Nordeste","PB","Alcantil","Brasil","Alcantil, PB",5499,"5001 até 10000"
2500577,"Nordeste","PB","Algodão de Jandaíra","Brasil","Algodão de Jandaíra, PB",2501,"Até 5000"
2500601,"Nordeste","PB","Alhandra","Brasil","Alhandra, PB",19579,"10001 até 20000"
2500700,"Nordeste","PB","São João do Rio do Peixe","Brasil","São João do Rio do Peixe, PB",17940,"10001 até 20000"
2500734,"Nordeste","PB","Amparo","Brasil","Amparo, PB",2246,"Até 5000"
2500775,"Nordeste","PB","Aparecida","Brasil","Aparecida, PB",8430,"5001 até 10000"
2500809,"Nordeste","PB","Araçagi","Brasil","Araçagi, PB",17003,"10001 até 20000"
2500908,"Nordeste","PB","Arara","Brasil","Arara, PB",13538,"10001 até 20000"
2501005,"Nordeste","PB","Araruna","Brasil","Araruna, PB",20418,"20001 até 50000"
2501104,"Nordeste","PB","Areia","Brasil","Areia, PB",22776,"20001 até 50000"
2501153,"Nordeste","PB","Areia de Baraúnas","Brasil","Areia de Baraúnas, PB",2126,"Até 5000"
2501203,"Nordeste","PB","Areial","Brasil","Areial, PB",6975,"5001 até 10000"
2501302,"Nordeste","PB","Aroeiras","Brasil","Aroeiras, PB",19154,"10001 até 20000"
2501351,"Nordeste","PB","Assunção","Brasil","Assunção, PB",3921,"Até 5000"
2501401,"Nordeste","PB","Baía da Traição","Brasil","Baía da Traição, PB",9070,"5001 até 10000"
2501500,"Nordeste","PB","Bananeiras","Brasil","Bananeiras, PB",21156,"20001 até 50000"
2501534,"Nordeste","PB","Baraúna","Brasil","Baraúna, PB",4925,"Até 5000"
2501575,"Nordeste","PB","Barra de Santana","Brasil","Barra de Santana, PB",8241,"5001 até 10000"
2501609,"Nordeste","PB","Barra de Santa Rosa","Brasil","Barra de Santa Rosa, PB",15421,"10001 até 20000"
2501708,"Nordeste","PB","Barra de São Miguel","Brasil","Barra de São Miguel, PB",5979,"5001 até 10000"
2501807,"Nordeste","PB","Bayeux","Brasil","Bayeux, PB",97010,"50001 até 100000"
2501906,"Nordeste","PB","Belém","Brasil","Belém, PB",17685,"10001 até 20000"
2502003,"Nordeste","PB","Belém do Brejo do Cruz","Brasil","Belém do Brejo do Cruz, PB",7347,"5001 até 10000"
2502052,"Nordeste","PB","Bernardino Batista","Brasil","Bernardino Batista, PB",3438,"Até 5000"
2502102,"Nordeste","PB","Boa Ventura","Brasil","Boa Ventura, PB",5349,"5001 até 10000"
2502151,"Nordeste","PB","Boa Vista","Brasil","Boa Vista, PB",7083,"5001 até 10000"
2502201,"Nordeste","PB","Bom Jesus","Brasil","Bom Jesus, PB",2567,"Até 5000"
2502300,"Nordeste","PB","Bom Sucesso","Brasil","Bom Sucesso, PB",4972,"Até 5000"
2502409,"Nordeste","PB","Bonito de Santa Fé","Brasil","Bonito de Santa Fé, PB",11938,"10001 até 20000"
2502508,"Nordeste","PB","Boqueirão","Brasil","Boqueirão, PB",17842,"10001 até 20000"
2502607,"Nordeste","PB","Igaracy","Brasil","Igaracy, PB",6173,"5001 até 10000"
2502706,"Nordeste","PB","Borborema","Brasil","Borborema, PB",5430,"5001 até 10000"
2931103,"Nordeste","BA","Tanquinho","Brasil","Tanquinho, BA",8232,"5001 até 10000"
2931202,"Nordeste","BA","Taperoá","Brasil","Taperoá, BA",21462,"20001 até 50000"
2931301,"Nordeste","BA","Tapiramutá","Brasil","Tapiramutá, BA",17845,"10001 até 20000"
2931350,"Nordeste","BA","Teixeira de Freitas","Brasil","Teixeira de Freitas, BA",161690,"100001 até 500000"
2503100,"Nordeste","PB","Cabaceiras","Brasil","Cabaceiras, PB",5570,"5001 até 10000"
2503209,"Nordeste","PB","Cabedelo","Brasil","Cabedelo, PB",68033,"50001 até 100000"
2503308,"Nordeste","PB","Cachoeira dos Índios","Brasil","Cachoeira dos Índios, PB",10265,"10001 até 20000"
2503407,"Nordeste","PB","Cacimba de Areia","Brasil","Cacimba de Areia, PB",3749,"Até 5000"
2503506,"Nordeste","PB","Cacimba de Dentro","Brasil","Cacimba de Dentro, PB",17156,"10001 até 20000"
2503555,"Nordeste","PB","Cacimbas","Brasil","Cacimbas, PB",7183,"5001 até 10000"
2503605,"Nordeste","PB","Caiçara","Brasil","Caiçara, PB",7283,"5001 até 10000"
2503704,"Nordeste","PB","Cajazeiras","Brasil","Cajazeiras, PB",62187,"50001 até 100000"
2503753,"Nordeste","PB","Cajazeirinhas","Brasil","Cajazeirinhas, PB",3197,"Até 5000"
2503803,"Nordeste","PB","Caldas Brandão","Brasil","Caldas Brandão, PB",6025,"5001 até 10000"
2503902,"Nordeste","PB","Camalaú","Brasil","Camalaú, PB",6020,"5001 até 10000"
2504009,"Nordeste","PB","Campina Grande","Brasil","Campina Grande, PB",410332,"100001 até 500000"
2504033,"Nordeste","PB","Capim","Brasil","Capim, PB",6552,"5001 até 10000"
2504074,"Nordeste","PB","Caraúbas","Brasil","Caraúbas, PB",4171,"Até 5000"
2504108,"Nordeste","PB","Carrapateira","Brasil","Carrapateira, PB",2667,"Até 5000"
2504157,"Nordeste","PB","Casserengue","Brasil","Casserengue, PB",7476,"5001 até 10000"
2504207,"Nordeste","PB","Catingueira","Brasil","Catingueira, PB",4934,"Até 5000"
2504306,"Nordeste","PB","Catolé do Rocha","Brasil","Catolé do Rocha, PB",30534,"20001 até 50000"
2504355,"Nordeste","PB","Caturité","Brasil","Caturité, PB",4839,"Até 5000"
2504405,"Nordeste","PB","Conceição","Brasil","Conceição, PB",18944,"10001 até 20000"
2504504,"Nordeste","PB","Condado","Brasil","Condado, PB",6753,"5001 até 10000"
2504603,"Nordeste","PB","Conde","Brasil","Conde, PB",24769,"20001 até 50000"
2504702,"Nordeste","PB","Congo","Brasil","Congo, PB",4789,"Até 5000"
2504801,"Nordeste","PB","Coremas","Brasil","Coremas, PB",15426,"10001 até 20000"
2504850,"Nordeste","PB","Coxixola","Brasil","Coxixola, PB",1925,"Até 5000"
2504900,"Nordeste","PB","Cruz do Espírito Santo","Brasil","Cruz do Espírito Santo, PB",17559,"10001 até 20000"
2505006,"Nordeste","PB","Cubati","Brasil","Cubati, PB",7274,"5001 até 10000"
2505105,"Nordeste","PB","Cuité","Brasil","Cuité, PB",20348,"20001 até 50000"
2505204,"Nordeste","PB","Cuitegi","Brasil","Cuitegi, PB",6790,"5001 até 10000"
2505238,"Nordeste","PB","Cuité de Mamanguape","Brasil","Cuité de Mamanguape, PB",6358,"5001 até 10000"
2505279,"Nordeste","PB","Curral de Cima","Brasil","Curral de Cima, PB",5232,"5001 até 10000"
2505303,"Nordeste","PB","Curral Velho","Brasil","Curral Velho, PB",2517,"Até 5000"
2505352,"Nordeste","PB","Damião","Brasil","Damião, PB",5343,"5001 até 10000"
2505402,"Nordeste","PB","Desterro","Brasil","Desterro, PB",8306,"5001 até 10000"
2505501,"Nordeste","PB","Vista Serrana","Brasil","Vista Serrana, PB",3808,"Até 5000"
2505600,"Nordeste","PB","Diamante","Brasil","Diamante, PB",6550,"5001 até 10000"
2505709,"Nordeste","PB","Dona Inês","Brasil","Dona Inês, PB",10383,"10001 até 20000"
2505808,"Nordeste","PB","Duas Estradas","Brasil","Duas Estradas, PB",3594,"Até 5000"
2505907,"Nordeste","PB","Emas","Brasil","Emas, PB",3528,"Até 5000"
2506004,"Nordeste","PB","Esperança","Brasil","Esperança, PB",33266,"20001 até 50000"
2506103,"Nordeste","PB","Fagundes","Brasil","Fagundes, PB",11313,"10001 até 20000"
2506202,"Nordeste","PB","Frei Martinho","Brasil","Frei Martinho, PB",2990,"Até 5000"
2506251,"Nordeste","PB","Gado Bravo","Brasil","Gado Bravo, PB",8435,"5001 até 10000"
2506301,"Nordeste","PB","Guarabira","Brasil","Guarabira, PB",58881,"50001 até 100000"
2506400,"Nordeste","PB","Gurinhém","Brasil","Gurinhém, PB",14134,"10001 até 20000"
2506509,"Nordeste","PB","Gurjão","Brasil","Gurjão, PB",3436,"Até 5000"
2506608,"Nordeste","PB","Ibiara","Brasil","Ibiara, PB",5925,"5001 até 10000"
2506707,"Nordeste","PB","Imaculada","Brasil","Imaculada, PB",11833,"10001 até 20000"
2506806,"Nordeste","PB","Ingá","Brasil","Ingá, PB",18163,"10001 até 20000"
2506905,"Nordeste","PB","Itabaiana","Brasil","Itabaiana, PB",24475,"20001 até 50000"
2507002,"Nordeste","PB","Itaporanga","Brasil","Itaporanga, PB",24842,"20001 até 50000"
2507101,"Nordeste","PB","Itapororoca","Brasil","Itapororoca, PB",18715,"10001 até 20000"
2507200,"Nordeste","PB","Itatuba","Brasil","Itatuba, PB",10876,"10001 até 20000"
2507309,"Nordeste","PB","Jacaraú","Brasil","Jacaraú, PB",14378,"10001 até 20000"
2507408,"Nordeste","PB","Jericó","Brasil","Jericó, PB",7742,"5001 até 10000"
2507507,"Nordeste","PB","João Pessoa","Brasil","João Pessoa, PB",811598,"Maior que 500000"
2507606,"Nordeste","PB","Juarez Távora","Brasil","Juarez Távora, PB",7950,"5001 até 10000"
2507705,"Nordeste","PB","Juazeirinho","Brasil","Juazeirinho, PB",18213,"10001 até 20000"
2507804,"Nordeste","PB","Junco do Seridó","Brasil","Junco do Seridó, PB",7165,"5001 até 10000"
2507903,"Nordeste","PB","Juripiranga","Brasil","Juripiranga, PB",10770,"10001 até 20000"
2508000,"Nordeste","PB","Juru","Brasil","Juru, PB",9868,"5001 até 10000"
2508109,"Nordeste","PB","Lagoa","Brasil","Lagoa, PB",4666,"Até 5000"
2508208,"Nordeste","PB","Lagoa de Dentro","Brasil","Lagoa de Dentro, PB",7670,"5001 até 10000"
2508307,"Nordeste","PB","Lagoa Seca","Brasil","Lagoa Seca, PB",27543,"20001 até 50000"
2508406,"Nordeste","PB","Lastro","Brasil","Lastro, PB",2725,"Até 5000"
2508505,"Nordeste","PB","Livramento","Brasil","Livramento, PB",7386,"5001 até 10000"
2508554,"Nordeste","PB","Logradouro","Brasil","Logradouro, PB",4343,"Até 5000"
2508604,"Nordeste","PB","Lucena","Brasil","Lucena, PB",13121,"10001 até 20000"
2508703,"Nordeste","PB","Mãe d'Água","Brasil","Mãe d'Água, PB",4009,"Até 5000"
2508802,"Nordeste","PB","Malta","Brasil","Malta, PB",5665,"5001 até 10000"
2508901,"Nordeste","PB","Mamanguape","Brasil","Mamanguape, PB",45005,"20001 até 50000"
2509008,"Nordeste","PB","Manaíra","Brasil","Manaíra, PB",11120,"10001 até 20000"
2509057,"Nordeste","PB","Marcação","Brasil","Marcação, PB",8586,"5001 até 10000"
2509107,"Nordeste","PB","Mari","Brasil","Mari, PB",21854,"20001 até 50000"
2509156,"Nordeste","PB","Marizópolis","Brasil","Marizópolis, PB",6614,"5001 até 10000"
2509206,"Nordeste","PB","Massaranduba","Brasil","Massaranduba, PB",13853,"10001 até 20000"
2509305,"Nordeste","PB","Mataraca","Brasil","Mataraca, PB",8466,"5001 até 10000"
2509339,"Nordeste","PB","Matinhas","Brasil","Matinhas, PB",4537,"Até 5000"
2509370,"Nordeste","PB","Mato Grosso","Brasil","Mato Grosso, PB",2915,"Até 5000"
2509396,"Nordeste","PB","Maturéia","Brasil","Maturéia, PB",6587,"5001 até 10000"
2509404,"Nordeste","PB","Mogeiro","Brasil","Mogeiro, PB",13286,"10001 até 20000"
2509503,"Nordeste","PB","Montadas","Brasil","Montadas, PB",5691,"5001 até 10000"
2509602,"Nordeste","PB","Monte Horebe","Brasil","Monte Horebe, PB",4825,"Até 5000"
2509701,"Nordeste","PB","Monteiro","Brasil","Monteiro, PB",33294,"20001 até 50000"
2509800,"Nordeste","PB","Mulungu","Brasil","Mulungu, PB",9922,"5001 até 10000"
2509909,"Nordeste","PB","Natuba","Brasil","Natuba, PB",10460,"10001 até 20000"
2510006,"Nordeste","PB","Nazarezinho","Brasil","Nazarezinho, PB",7296,"5001 até 10000"
2510105,"Nordeste","PB","Nova Floresta","Brasil","Nova Floresta, PB",10639,"10001 até 20000"
2510204,"Nordeste","PB","Nova Olinda","Brasil","Nova Olinda, PB",5944,"5001 até 10000"
2510303,"Nordeste","PB","Nova Palmeira","Brasil","Nova Palmeira, PB",4910,"Até 5000"
2510402,"Nordeste","PB","Olho d'Água","Brasil","Olho d'Água, PB",6512,"5001 até 10000"
